% Silica Feed,Amina Flow,Flotation Column 01 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 02 Level,Flotation Column 03 Level,% Iron Concentrate,% Silica Concentrate,Purity,dates
16.98,578.9101040462429,251.17795953757224,250.1759884393064,295.096,446.97236416184967,450.6220404624277,66.91,1.31,1,2017-03-10 01:00:00.000
16.98,537.2196611111111,249.8805888888889,250.03331666666668,295.096,450.2493555555556,450.0812222222222,67.06,1.11,1,2017-03-10 02:00:00.000
16.98,591.9067444444444,250.16132777777776,250.04635,295.096,450.8687111111111,450.90182222222217,66.97,1.27,1,2017-03-10 03:00:00.000
15.993125388103033,502.41085462668514,249.75204386360554,250.07065937096667,295.096,551.2965339702164,550.6927241668103,65.79916884079911,3.7682830941976513,0,2017-03-10 03:06:09.580
16.98,593.1701055555556,250.20877222222225,250.12086111111108,295.096,491.4621111111112,487.3872055555556,66.75,1.36,1,2017-03-10 04:00:00.000
14.271245005393284,458.6159938639124,249.81795639829951,250.05625947755965,295.096,549.6609508942645,549.7398273458688,65.57778089343624,3.4954305669181207,0,2017-03-10 04:58:08.240
16.98,619.7108055555556,249.9178,250.0135,295.096,549.9831555555555,549.4595722222222,66.63,1.34,1,2017-03-10 05:00:00.000
16.98,621.8785388888889,249.89829444444445,250.0753833333333,295.096,549.9291388888888,549.0892444444445,66.85,1.15,1,2017-03-10 06:00:00.000
17.4,618.1863666666667,250.35066666666668,250.06684444444443,295.096,550.77905,550.9951833333333,65.76,2.76,1,2017-03-10 07:00:00.000
17.4,595.6809833333334,249.80609444444443,250.0090277777778,295.096,550.0977,549.3166277777777,65.89,2.65,1,2017-03-10 08:00:00.000
10.26277314947431,365.8264997788819,249.96350267619786,250.0468060295197,295.096,549.7222614703197,549.9136483093843,64.7005059081341,3.3919571071132535,0,2017-03-10 08:45:07.250
17.4,592.3834469273743,250.0503687150838,250.01379329608932,295.096,549.2608547486034,550.3653407821229,66.68,1.73,1,2017-03-10 09:00:00.000
17.4,582.9060944444444,250.09676666666667,250.0462388888889,295.096,549.3267944444444,549.1419055555556,66.52,1.81,1,2017-03-10 10:00:00.000
17.4,518.7408555555556,250.3756833333333,250.0917611111111,295.096,551.1949611111111,549.6130166666667,65.55,2.83,1,2017-03-10 11:00:00.000
17.4,559.8309,250.20953333333333,250.04512777777776,295.096,549.5186555555555,550.13735,65.55,2.83,1,2017-03-10 12:00:00.000
17.4,543.6981777777778,250.1952111111111,250.1187111111111,295.096,550.0930555555556,549.3815888888889,66.74,1.5,1,2017-03-10 13:00:00.000
17.4,530.333161111111,249.97116666666665,249.97821666666667,295.096,548.7506944444444,550.4247111111112,66.26,1.94,1,2017-03-10 14:00:00.000
