% Silica Feed,Amina Flow,Flotation Column 01 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 02 Level,Flotation Column 03 Level,% Iron Concentrate,% Silica Concentrate,Purity,dates
16.98,578.9101040462429,251.17795953757224,250.17598843930637,295.096,446.97236416184967,450.6220404624277,66.91,1.31,1,2017-03-10 01:00:00.000
16.98,537.2196611111111,249.8805888888889,250.03331666666668,295.096,450.2493555555556,450.0812222222222,67.06,1.11,1,2017-03-10 02:00:00.000
16.98,591.9067444444444,250.16132777777776,250.04635,295.096,450.8687111111111,450.90182222222217,66.97,1.27,1,2017-03-10 03:00:00.000
16.98,593.1701055555556,250.20877222222225,250.12086111111108,295.096,491.4621111111112,487.3872055555556,66.75,1.36,1,2017-03-10 04:00:00.000
14.747227592686308,511.76143386815914,249.8139970462399,250.071306368448,295.096,549.6778304649143,549.2649503770966,65.3605153382563,3.9799943332721313,0,2017-03-10 04:45:46.300
16.98,619.7108055555556,249.9178,250.0135,295.096,549.9831555555555,549.4595722222222,66.63,1.34,1,2017-03-10 05:00:00.000
16.98,621.8785388888889,249.89829444444445,250.0753833333333,295.096,549.9291388888888,549.0892444444445,66.85,1.15,1,2017-03-10 06:00:00.000
17.4,618.1863666666667,250.35066666666668,250.06684444444443,295.096,550.77905,550.9951833333333,65.76,2.76,1,2017-03-10 07:00:00.000
10.882213076275699,380.1655096285075,249.9410110187862,250.04826689624707,295.096,549.7127869822582,549.886787288829,64.83607356888189,3.4079471388937606,0,2017-03-10 07:08:59.360
17.4,595.6809833333334,249.80609444444443,250.0090277777778,295.096,550.0977,549.3166277777777,65.89,2.65,1,2017-03-10 08:00:00.000
17.4,592.3834469273743,250.0503687150838,250.01379329608935,295.096,549.2608547486034,550.3653407821229,66.68,1.73,1,2017-03-10 09:00:00.000
9.237074549912576,353.0321424435059,249.573270726801,249.6457766803667,295.096,552.0046990580515,550.4865138112842,65.24075322776709,4.076853816672259,0,2017-03-10 09:35:08.340
17.4,582.9060944444444,250.09676666666667,250.0462388888889,295.096,549.3267944444444,549.1419055555556,66.52,1.81,1,2017-03-10 10:00:00.000
17.4,518.7408555555556,250.3756833333333,250.0917611111111,295.096,551.1949611111111,549.6130166666667,65.55,2.83,1,2017-03-10 11:00:00.000
17.4,559.8309,250.20953333333333,250.04512777777776,295.096,549.5186555555555,550.13735,65.55,2.83,1,2017-03-10 12:00:00.000
17.4,543.6981777777778,250.1952111111111,250.1187111111111,295.096,550.0930555555556,549.3815888888889,66.74,1.5,1,2017-03-10 13:00:00.000
17.4,530.333161111111,249.97116666666665,249.97821666666667,295.096,548.7506944444444,550.4247111111112,66.26,1.94,1,2017-03-10 14:00:00.000
17.4,517.8753575418995,249.9704469273743,250.1421117318436,295.096,550.4647094972067,549.426877094972,67.6,1.09,1,2017-03-10 15:00:00.000
17.16,525.4858944444444,249.71306666666663,250.06307222222225,295.096,549.6167666666666,549.6145611111111,66.21,3.5700000000000003,0,2017-03-10 18:00:00.000
17.16,443.269775147929,249.93859763313608,250.0601893491124,295.096,525.0798846153846,523.0409408284023,66.23,1.49,1,2017-03-10 20:00:00.000
17.16,431.1602415730337,249.969786516854,250.0086573033708,295.096,485.3412387640449,475.65348876404494,66.42,1.4699999999999998,1,2017-03-10 21:00:00.000
17.16,434.9555209580838,249.76384431137723,250.0284610778443,295.096,549.1767904191618,548.0008622754491,67.16,1.16,1,2017-03-10 22:00:00.000
17.16,358.67632258064515,250.0842774193549,250.07916129032256,295.096,549.8924387096774,549.484929032258,67.17,1.15,1,2017-03-10 23:00:00.000
8.25,331.547059602649,249.55585430463577,249.5937880794702,295.096,552.3021986754967,550.5951456953642,65.12,4.14,0,2017-03-11 03:00:00.000
8.25,330.8032299298929,249.58489551308045,249.62086834024734,295.096,552.1482032825041,550.5592487938877,65.06804700843453,4.091671635753048,0,2017-03-11 03:06:00.400
8.25,328.089462126339,249.69084866249096,249.71966722190064,295.096,551.5863707088582,550.4282835218072,64.87850313707177,3.915351755415599,0,2017-03-11 03:28:00.800
