date,% Silica Feed,Amina Flow,Ave_Flot_Air_Flow,Ave_Flot_Level,% Iron Concentrate,% Silica Concentrate,Purity
2017-03-10 01:00:00,16.98,578.9101040462429,265.48331599229283,448.79720231213867,66.91,1.31,1
2017-03-10 02:00:00,16.98,537.2196611111111,265.00330185185186,450.1652888888889,67.06,1.11,1
2017-03-10 03:00:00,16.98,591.9067444444444,265.1012259259259,450.88526666666667,66.97,1.27,1
2017-03-10 04:00:00,16.98,593.1701055555556,265.1418777777778,489.4246583333334,66.75,1.36,1
2017-03-10 05:00:00,16.98,619.7108055555556,265.0091,549.7213638888888,66.63,1.34,1
2017-03-10 06:00:00,16.98,621.8785388888889,265.02322592592594,549.5091916666667,66.85,1.15,1
2017-03-10 07:00:00,17.4,618.1863666666667,265.17117037037036,550.8871166666667,65.76,2.76,1
2017-03-10 08:00:00,17.4,595.6809833333334,264.9703740740741,549.7071638888889,65.89,2.65,1
2017-03-10 09:00:00,17.4,592.3834469273743,265.0533873370577,549.8130977653632,66.68,1.73,1
2017-03-10 10:00:00,17.4,582.9060944444444,265.07966851851853,549.23435,66.52,1.81,1
2017-03-10 11:00:00,17.4,518.7408555555556,265.18781481481483,550.4039888888889,65.55,2.83,1
2017-03-10 12:00:00,17.4,559.8309,265.11688703703703,549.8280027777778,65.55,2.83,1
2017-03-10 13:00:00,17.4,543.6981777777778,265.13664074074075,549.7373222222222,66.74,1.5,1
2017-03-10 14:00:00,17.4,530.333161111111,265.01512777777776,549.5877027777778,66.26,1.94,1
2017-03-10 15:00:00,17.4,517.8753575418995,265.06951955307267,549.9457932960894,67.6,1.09,1
2017-03-10 16:00:00,17.16,523.7905,265.17806666666667,549.8343805555555,67.3,1.51,1
2017-03-10 17:00:00,17.16,556.633782122905,265.06196089385475,550.2629217877095,66.3,1.96,1
2017-03-10 18:00:00,17.16,525.4858944444444,264.95737962962966,549.6156638888889,66.21,3.5700000000000003,0
2017-03-10 19:00:00,17.16,469.2108715083799,265.11945623836124,549.3087374301676,67.24,1.12,1
2017-03-10 20:00:00,17.16,443.269775147929,265.0315956607495,524.0604127218935,66.23,1.49,1
2017-03-10 21:00:00,17.16,431.1602415730337,265.0248146067416,480.4973637640449,66.42,1.4699999999999998,1
2017-03-10 22:00:00,17.16,434.9555209580838,264.9627684630738,548.5888263473055,67.16,1.16,1
2017-03-10 23:00:00,17.16,358.67632258064515,265.08647956989245,549.6886838709677,67.17,1.15,1
2017-03-11 00:00:00,17.16,319.3154126984127,265.11653174603174,549.2604007936508,67.03,1.23,1
2017-03-11 01:00:00,8.25,366.5250379746835,265.1262658227848,550.37607278481,67.44,1.17,1
2017-03-11 02:00:00,8.25,357.21271590909095,264.9657859848485,551.7606534090909,66.4,2.5,1
2017-03-11 03:00:00,8.25,331.547059602649,264.7485474613687,551.4486721854305,65.12,4.14,0
2017-03-11 04:00:00,8.25,319.2341301775148,265.0582149901381,549.8769881656805,64.26,3.3399999999999994,0
2017-03-11 05:00:00,8.25,330.74431578947366,264.9878382066277,550.1345116959064,64.08,4.08,0
2017-03-11 07:00:00,8.98,363.7257329113924,265.0661877637131,559.2824567510547,63.33,4.96,0
2017-03-11 08:00:00,8.98,478.9559825581396,265.080746124031,549.126534883721,63.33,4.96,0
2017-03-11 09:00:00,8.98,541.4624988535032,265.02294055201696,542.3198788778573,65.15,2.97,1
2017-03-11 10:00:00,8.98,559.5588833333334,265.21370925925925,395.19277034534525,65.65,2.67,1
2017-03-11 11:00:00,8.98,512.8435921052632,265.0119035087719,483.63612825752364,66.47,1.59,1
2017-03-11 12:00:00,8.98,447.2567888198757,265.09631262939956,636.1630201863354,66.21,1.52,1
2017-03-11 13:00:00,8.98,499.8792352941177,265.05423529411763,652.2039017118566,66.41,1.82,1
2017-03-11 14:00:00,8.98,385.1406296296296,265.12873827160496,672.9398331597222,64.92,2.98,1
2017-03-11 15:00:00,8.98,477.89829629629634,265.0675164609053,681.357285927855,66.16,1.99,1
2017-03-11 16:00:00,9.09,512.6098620689655,265.0962509578544,480.2753600933909,65.58,2.36,1
2017-03-11 17:00:00,9.09,540.9539441077443,264.94958383838383,454.93349393939394,66.21,1.83,1
2017-03-11 18:00:00,9.09,558.0600944444444,265.0332037037037,449.7446027777778,66.21,1.8300000000000003,1
2017-03-11 19:00:00,9.09,568.9276055555555,264.90864814814813,449.9973,65.5,3.42,0
2017-03-11 20:00:00,9.09,570.8372737430168,265.07351769087524,486.5834979587453,64.565,3.865,0
2017-03-11 21:00:00,9.09,554.1030722222222,264.98555,549.9437527777777,64.565,3.865,0
2017-03-11 22:00:00,9.09,551.3229166666666,265.03082222222224,458.85850277777774,62.95,4.97,0
2017-03-11 23:00:00,9.09,540.1496994219654,265.097795761079,449.6814479768786,62.83,5.06,0
2017-03-12 00:00:00,9.09,551.2976609195402,264.9262796934866,449.67565229885054,64.72,3.51,0
2017-03-12 01:00:00,11.46,546.4749209039549,264.51671563088513,377.3715699285791,64.29,3.62,0
2017-03-12 02:00:00,11.46,553.9433876404494,265.23436329588014,410.38273839304634,63.61999999999999,4.92,0
2017-03-12 03:00:00,11.46,561.6618888888889,265.0918277777778,450.31808333333333,65.87,2.13,1
2017-03-12 04:00:00,11.46,558.8256,265.13002592592596,450.03318055555553,65.16,2.77,1
2017-03-12 05:00:00,11.46,548.8467888888889,265.0899814814815,449.97001388888884,65.87,2.03,1
2017-03-12 06:00:00,11.46,497.027880239521,265.50043113772455,457.4818682634731,65.92,2.12,1
2017-03-12 07:00:00,11.46,519.5774104477613,265.05064925373136,450.97448507462684,65.9,2.4,1
2017-03-12 08:00:00,11.46,512.4519032258064,265.0158580645161,449.77277419354834,65.78,2.43,1
2017-03-12 09:00:00,11.46,497.4821965317919,265.05516184971094,450.6007832369943,65.15,2.99,1
2017-03-12 10:00:00,11.46,445.9396144578313,265.1105140562249,451.56479518072285,62.95,5.04,0
2017-03-12 11:00:00,11.46,308.97480952380954,265.14366666666666,646.9904553571428,63.830000000000005,4.71,0
2017-03-12 12:00:00,11.46,435.4185,265.0418634259259,344.58245754795036,64.09627992633541,4.266200122775,0
2017-03-12 13:00:00,11.46,513.3238764705882,265.0176843137255,574.0588269131932,64.4,3.76,0
2017-03-12 14:00:00,11.46,529.7314052287581,265.05651633986923,435.3246472589036,64.1,3.55,0
2017-03-12 15:00:00,11.46,536.7365,265.10591851851854,434.31662916666664,64.29,3.06,0
2017-03-12 16:00:00,11.2,544.2283666666667,265.0472907407407,499.94013611111114,66.55,1.44,1
2017-03-12 17:00:00,11.2,549.7813314606742,265.03369850187266,499.613797752809,66.25,1.5900000000000003,1
2017-03-12 18:00:00,11.2,534.8689611111112,265.05732222222224,500.38139722222223,66.92,1.52,1
2017-03-12 19:00:00,11.2,515.1387333333333,265.26696111111113,503.50289444444445,66.17,1.96,1
2017-03-12 20:00:00,11.2,313.9573374233129,265.088118609407,825.854063484155,67.11,1.9,1
2017-03-12 21:00:00,11.2,476.8612434210526,265.129850877193,552.3852552383826,67.11,1.9,1
2017-03-12 22:00:00,11.2,540.9814388888889,265.06834444444445,549.8174277777778,66.29,1.09,1
2017-03-12 23:00:00,11.2,535.7912111111111,265.09378888888887,549.4774527777777,67.22,1.0,1
2017-03-13 00:00:00,11.2,506.5579112215909,265.05963636363634,596.2865095041325,66.97,1.0,1
2017-03-13 01:00:00,12.27,383.4339670329671,265.0564871794872,434.7241581196582,66.24,1.04,1
2017-03-13 02:00:00,12.27,441.7159221556886,265.0080778443114,396.9773312040045,67.04,1.25,1
2017-03-13 03:00:00,12.27,470.4176923076923,265.1399368836292,500.1330636544198,66.42,2.46,1
2017-03-13 04:00:00,12.27,455.4266918604652,265.05618410852713,489.101689177102,66.44,2.67,1
2017-03-13 05:00:00,12.27,431.4927111111111,265.0755888888889,504.93944722222227,66.61,1.95,1
2017-03-13 06:00:00,12.27,420.04932054309353,265.11005844155846,501.4296218692019,65.85,2.4,1
2017-03-13 07:00:00,12.99,412.961421957672,265.1193611111111,558.1349704739443,66.5,2.03,1
2017-03-13 08:00:00,12.99,425.671016666666,265.13564888888885,507.3589164610977,65.94,1.79,1
2017-03-13 09:00:00,12.990000000000002,431.9291404494382,265.05825280898875,504.2403470329863,65.94,2.02,1
2017-03-13 10:00:00,12.990000000000002,435.72914772727273,265.1394943181818,657.2565486186722,65.69,1.94,1
2017-03-13 11:00:00,12.990000000000002,415.81401123595504,265.07323220973785,499.1387289325843,64.47,3.09,0
2017-03-13 12:00:00,12.99,408.007074231822,264.97321965317917,502.89465317919075,66.17,1.38,1
2017-03-13 13:00:00,12.99,379.1970545225347,265.07163073852297,516.3132215568862,65.83,1.87,1
2017-03-13 14:00:00,12.990000000000002,365.4350983146068,265.02418164794005,532.2890646067416,66.41,1.8600000000000003,1
2017-03-13 15:00:00,12.990000000000002,345.88586781609195,265.1925421455939,500.33407758620683,66.23,1.27,1
2017-03-13 16:00:00,8.94,329.2064382022472,265.0850018726592,499.74767977528086,65.49,1.9,1
2017-03-13 17:00:00,8.94,397.4670837988826,265.05918435754194,548.3442318435755,65.62,2.48,1
2017-03-13 18:00:00,8.94,430.213905027933,265.0966108007449,601.9980391061451,65.15,3.01,0
2017-03-13 19:00:00,8.94,443.24487150837984,265.1467467411546,600.3461312849163,64.98,2.9,1
2017-03-13 20:00:00,8.94,441.4657150837989,265.01484543761643,599.7767318435754,63.56,4.17,0
2017-03-13 21:00:00,8.94,439.6072555555555,265.07942962962966,600.2368333333334,64.59,3.88,0
2017-03-13 22:00:00,8.94,437.90619444444445,265.02139074074074,588.044425,63.99,4.3,0
2017-03-13 23:00:00,8.94,435.5546055555556,265.04359074074074,448.96766111111106,64.07,4.08,0
2017-03-14 00:00:00,8.94,433.6238611111111,265.0390074074074,450.5609083333333,64.03,3.56,0
2017-03-14 01:00:00,10.69,434.4194183006536,264.686954248366,449.18836928104577,63.60000000000001,4.17,0
2017-03-14 02:00:00,10.69,430.2977962962963,265.0384403292181,450.3877962962963,63.8,4.69,0
2017-03-14 03:00:00,10.69,430.72010071942447,265.092381294964,450.4023417266187,63.47,4.39,0
2017-03-14 04:00:00,10.69,441.51215,265.02268518518514,450.3221138888889,64.05,3.99,0
