date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate,Purity
2017-03-10 01:00:00,55.2,16.98,3163.4521647398847,578.9101040462429,398.77094219653185,10.113759537572253,1.7294978034682083,251.17795953757224,250.20869364161848,250.17598843930634,295.096,306.4,251.23835260115607,250.2042774566474,450.3432427745664,446.97236416184967,450.6220404624277,449.9489884393064,455.52358959537577,464.48743352601156,450.11187283236995,66.91,1.31,1
2017-03-10 02:00:00,55.2,16.98,3133.256388888889,537.2196611111111,399.87182222222225,10.129741666666666,1.6677842222222223,249.8805888888889,250.21405000000001,250.03331666666668,295.096,306.4,249.90949444444445,249.89757222222224,449.37336111111114,450.2493555555556,450.0812222222222,450.32880555555556,448.72298333333333,455.50152777777777,451.38770000000005,67.06,1.11,1
2017-03-10 03:00:00,55.2,16.98,3479.482944444445,591.9067444444444,398.76380555555556,10.048403333333333,1.7327108333333332,250.16132777777776,250.10416666666666,250.04635000000002,295.096,306.4,250.2421611111111,250.48418333333333,449.9728777777778,450.8687111111111,450.90182222222217,451.14582222222225,451.13418888888884,459.9813111111111,450.29672222222223,66.97,1.27,1
2017-03-10 04:00:00,55.2,16.98,3228.0364358333336,593.1701055555556,399.86698333333334,9.918614,1.7310558333333335,250.20877222222222,250.20476111111108,250.12086111111108,295.096,306.4,249.8251222222222,250.15762222222224,487.9407055555556,491.46211111111114,487.38720555555557,494.52818333333335,495.6640111111111,502.76385,494.93988888888885,66.75,1.36,1
2017-03-10 05:00:00,55.2,16.98,3327.280738888889,619.7108055555556,399.61508888888886,9.746029222222223,1.7658792222222222,249.9178,250.16049444444445,250.0135,295.096,306.4,250.2496,250.0786388888889,549.0315388888889,549.9831555555555,549.4595722222222,549.9754833333334,549.5125333333333,560.6963000000001,550.2717722222222,66.63,1.34,1
2017-03-10 06:00:00,55.2,16.98,3405.1622222222218,621.8785388888889,399.74934444444443,9.892237111111111,1.7650640555555555,249.89829444444445,250.1110222222222,250.07538333333332,295.096,306.4,249.94249444444443,250.1498777777778,550.5995666666666,549.9291388888888,549.0892444444445,549.6097,549.2207,561.0516444444445,551.0907666666667,66.85,1.15,1
2017-03-10 07:00:00,54.95,17.4,2865.878427777778,618.1863666666667,400.3451333333333,10.180425555555555,1.7654223333333334,250.35066666666668,250.2765944444444,250.06684444444443,295.096,306.4,250.05003333333335,250.06273333333334,549.5399777777777,550.77905,550.9951833333333,550.4599722222222,549.7216888888888,569.6192777777778,550.5758166666667,65.76,2.76,1
2017-03-10 08:00:00,54.95,17.4,3306.753626666667,595.6809833333334,400.12874444444446,10.180202777777778,1.7661564444444444,249.80609444444445,250.23687777777778,250.0090277777778,295.096,306.4,250.20051666666666,250.05189444444446,550.3123,550.0977,549.3166277777777,549.6357722222222,548.4477277777778,567.5989555555556,550.0110166666667,65.89,2.65,1
2017-03-10 09:00:00,54.95,17.4,3785.519944134078,592.3834469273743,400.1774581005587,9.939868212290502,1.7600505586592181,250.0503687150838,249.91637988826815,250.01379329608937,295.096,306.4,250.16602793296087,250.07824022346367,549.9175027932961,549.2608547486034,550.3653407821229,551.414748603352,549.2317039106146,563.1747653631285,550.2918491620111,66.68,1.73,1
2017-03-10 10:00:00,54.95,17.4,3316.753911111112,582.9060944444444,399.77366666666666,10.104197277777777,1.761051388888889,250.09676666666667,250.00297777777777,250.04623888888887,295.096,306.4,250.11123333333333,249.98977777777776,550.1431277777779,549.3267944444444,549.1419055555556,548.2125583333334,546.7677722222222,556.4767166666667,549.2194222222222,66.52,1.81,1
